"设备编号","设备名称","设备类型","项目","安装位置","状态","最近巡检时间","管理摘要"
"fire_pump_room","消防泵房","综合巡检对象","紫涵雅集","p_zihan_daily","待复核","05-14 17:08","消防泵房本次未填写状态，需人工复核。"
"weak_room","弱电机房","综合巡检对象","紫涵雅集","p_zihan_daily","待复核","05-14 17:08","弱电机房本次未填写状态，需人工复核。"
"distribution_box_inside","配电箱内部","综合巡检对象","紫涵雅集","p_zihan_daily","待复核","05-14 17:08","配电箱内部本次未填写状态，需人工复核。"
"fire_water_meter","消防水表","水表","紫涵雅集","p_zihan_energy","待复核","05-14 17:04","消防水表本次未取得有效读数，需人工补录或复核。"
"environment","环境温湿度","环境监测","紫涵雅集","p_zihan_daily","正常","05-14 17:08","本次环境读数：温度 17，湿度 31。"
"distribution_box","配电箱","综合巡检对象","紫涵雅集","p_zihan_daily","待复核","05-14 17:08","配电箱本次状态：正常。AI 提示：图2和图3中配电箱外观无明显异常，图4中配电箱指示灯状态正常"
"strong_room","强电井","综合巡检对象","紫涵雅集","p_zihan_daily","正常","05-14 17:08","强电井本次状态：正常。"
"living_water_meter","生活水表","水表","紫涵雅集","p_zihan_energy","待复核","05-14 17:04","生活水表本次读数：722。"
"z4_energy_meter","Z4能耗表","电表","紫涵雅集","p_zihan_energy","正常","05-14 17:04","Z4能耗表本次读数：150527.77。"
"z3_energy_meter","Z3能耗表","电表","紫涵雅集","p_zihan_energy","正常","05-14 17:04","Z3能耗表本次读数：42170.484。"
"z2_energy_meter","Z2能耗表","电表","紫涵雅集","p_zihan_energy","正常","05-14 17:04","Z2能耗表本次读数：55967.844。"
"z1_energy_meter","Z1能耗表","电表","紫涵雅集","p_zihan_energy","正常","05-14 17:04","Z1能耗表本次读数：1125155.3。"
